 	i	P	        T						
	0	2.4707466E-05	5.0000000E+02						
	1	2.5755149E-05	5.0000000E+02						
	2	2.6847257E-05	5.0000000E+02						
	3	2.7985675E-05	5.0000000E+02						
	4	2.9172365E-05	5.0000000E+02						
	5	3.0409375E-05	5.0000000E+02						
	6	3.1698839E-05	5.0000000E+02						
	7	3.3042981E-05	5.0000000E+02						
	8	3.4444119E-05	5.0000000E+02						
	9	3.5904670E-05	5.0000000E+02						
	10	3.7427153E-05	5.0000000E+02						
	11	3.9014195E-05	5.0000000E+02						
	12	4.0668534E-05	5.0000000E+02						
	13	4.2393022E-05	5.0000000E+02						
	14	4.4190634E-05	5.0000000E+02						
	15	4.6064471E-05	5.0000000E+02						
	16	4.8017766E-05	5.0000000E+02						
	17	5.0053887E-05	5.0000000E+02						
	18	5.2176347E-05	5.0000000E+02						
	19	5.4388806E-05	5.0000000E+02						
	20	5.6695082E-05	5.0000000E+02						
	21	5.9099151E-05	5.0000000E+02						
	22	6.1605162E-05	5.0000000E+02						
	23	6.4217436E-05	5.0000000E+02						
	24	6.6940480E-05	5.0000000E+02						
	25	6.9778990E-05	5.0000000E+02						
	26	7.2737863E-05	5.0000000E+02						
	27	7.5822203E-05	5.0000000E+02						
	28	7.9037329E-05	5.0000000E+02						
	29	8.2388788E-05	5.0000000E+02						
	30	8.5882361E-05	5.0000000E+02						
	31	8.9524073E-05	5.0000000E+02						
	32	9.3320207E-05	5.0000000E+02						
	33	9.7277310E-05	5.0000000E+02						
	34	1.0140221E-04	5.0000000E+02						
	35	1.0570202E-04	5.0000000E+02						
	36	1.1018415E-04	5.0000000E+02						
	37	1.1485634E-04	5.0000000E+02						
	38	1.1972665E-04	5.0000000E+02						
	39	1.2480348E-04	5.0000000E+02						
	40	1.3009559E-04	5.0000000E+02						
	41	1.3561209E-04	5.0000000E+02						
	42	1.4136252E-04	5.0000000E+02						
	43	1.4735679E-04	5.0000000E+02						
	44	1.5360523E-04	5.0000000E+02						
	45	1.6011863E-04	5.0000000E+02						
	46	1.6690822E-04	5.0000000E+02						
	47	1.7398571E-04	5.0000000E+02						
	48	1.8136331E-04	5.0000000E+02						
	49	1.8905375E-04	5.0000000E+02						
	50	1.9707029E-04	5.0000000E+02						
	51	2.0542676E-04	5.0000000E+02						
	52	2.1413757E-04	5.0000000E+02						
	53	2.2321775E-04	5.0000000E+02						
	54	2.3268297E-04	5.0000000E+02						
	55	2.4254954E-04	5.0000000E+02						
	56	2.5283448E-04	5.0000000E+02						
	57	2.6355555E-04	5.0000000E+02						
	58	2.7473123E-04	5.0000000E+02						
	59	2.8638079E-04	5.0000000E+02						
	60	2.9852434E-04	5.0000000E+02						
	61	3.1118281E-04	5.0000000E+02						
	62	3.2437805E-04	5.0000000E+02						
	63	3.3813282E-04	5.0000000E+02						
	64	3.5247083E-04	5.0000000E+02						
	65	3.6741682E-04	5.0000000E+02						
	66	3.8299658E-04	5.0000000E+02						
